"id","city_id","country_code","country_id","country_name_en","country_name_ru","name_en","name_ru","parent_id","pretty_slug","type","slug"
6 308 875,6 308 875,R,153,Russia,Россия,Oktyabrsky,Октябрьский,6 288 307,oktyabrsky,City,oktyabrsky
6 308 881,6 308 881,R,153,Russia,Россия,Lomonosovo,Ломоносово,6 288 307,lomonosovo,City,lomonosovo
6 308 882,6 308 882,R,153,Russia,Россия,Pinega,Пинега,6 288 307,pinega_arkhangelsk_oblast,City,arkhangelsk_oblast_pinega
6 308 907,6 308 907,R,153,Russia,Россия,Sinyaya Osoka,Синяя Осока,6 288 344,sinyaya_osoka,City,sinyaya_osoka
6 308 908,6 308 908,R,153,Russia,Россия,Kovrov,Ковров,6 288 571,kovrov,City,kovrov
965 821 299,965 821 299,R,153,Russia,Россия,Naro-Fominsk,Наро-Фоминск,965 821 051,naro-fominsk,City,naro-fominsk
965 821 305,965 821 305,R,153,Russia,Россия,Kolpino,Колпино,965 820 996,kolpino,City,kolpino
965 821 306,965 821 306,R,153,Russia,Россия,Murom,Муром,965 821 141,murom,City,murom
965 821 307,965 821 307,R,153,Russia,Россия,Yubileyny,Юбилейный,965 821 051,yubileyny,City,yubileyny
965 821 324,965 821 324,R,153,Russia,Россия,Sheremetyevo,Шереметьево,965 821 051,sheremetyevo,City,sheremetyevo
965 821 334,965 821 334,R,153,Russia,Россия,Chekhov,Чехов,965 821 051,chekhov,City,chekhov
965 821 358,965 821 358,R,153,Russia,Россия,Bereznik,Березник,965 820 979,bereznik,City,bereznik
965 821 360,965 821 360,R,153,Russia,Россия,Holmogory,Холмогоры,965 820 979,holmogory,City,holmogory
965 821 361,965 821 361,R,153,Russia,Россия,Iliynsko-Podomskoe,Ильинско-Подомское,965 820 979,iliynsko-podomskoe,City,iliynsko-podomskoe
965 821 364,965 821 364,R,153,Russia,Россия,Karpogory,Карпогоры,965 820 979,karpogory,City,karpogory
965 821 366,965 821 366,R,153,Russia,Россия,Kodino ,Кодино,965 820 979,kodino,City,kodino
965 821 367,965 821 367,R,153,Russia,Россия,Konosha ,Коноша,965 820 979,konosha,City,konosha
965 821 370,965 821 370,R,153,Russia,Россия,Krasnoborsk ,Красноборск,965 820 979,krasnoborsk,City,krasnoborsk
965 821 372,965 821 372,R,153,Russia,Россия,Lukovetskiy ,Луковецкий,965 820 979,lukovetskiy,City,lukovetskiy
965 821 373,965 821 373,R,153,Russia,Россия,Maloshuyka ,Малошуйка,965 820 979,maloshuyka,City,maloshuyka
965 821 375,965 821 375,R,153,Russia,Россия,Mirniy ,Мирный,965 820 979,mirniy,City,mirniy
965 821 376,965 821 376,R,153,Russia,Россия,Mudyuga ,Мудьюг,965 820 979,mudyuga,City,mudyuga
965 821 379,965 821 379,R,153,Russia,Россия,Obozerskiy ,Обозерский,965 820 979,obozerskiy,City,obozerskiy
965 821 383,965 821 383,R,153,Russia,Россия,Plesetsk ,Плесецк,965 820 979,plesetsk,City,plesetsk
965 821 388,965 821 388,R,153,Russia,Россия,Solvychegodsk ,Сольвычегодск,965 820 979,solvychegodsk,City,solvychegodsk
965 821 398,965 821 398,R,153,Russia,Россия,Shebekino ,Шебекино,965 821 127,shebekino,City,shebekino
965 821 399,965 821 399,R,153,Russia,Россия,Elizovo ,Елизово,965 820 925,elizovo,City,elizovo
965 821 400,965 821 400,R,153,Russia,Россия,Primore ,Приморье,965 820 881,primore,City,primore
965 821 403,965 821 403,R,153,Russia,Россия,Petrushino ,Петрушино,965 821 141,petrushino,City,petrushino
965 821 408,965 821 408,R,153,Russia,Россия,Kurovskoe,Куровское,965 821 051,kurovskoe,City,kurovskoe
965 821 411,965 821 411,R,153,Russia,Россия,Kem ,Кемь,965 820 974,kem,City,kem
965 821 412,965 821 412,R,153,Russia,Россия,Kostomuksha ,Костомукша,965 820 974,kostomuksha,City,kostomuksha
965 821 413,965 821 413,R,153,Russia,Россия,Michurinets,Мичуринец,965 821 051,michurinets,City,michurinets
965 821 414,965 821 414,R,153,Russia,Россия,Lakhdenpokhya ,Лахденпохья,965 820 974,lakhdenpokhya,City,lakhdenpokhya
965 821 415,965 821 415,R,153,Russia,Россия,Loukhi ,Лоухи,965 820 974,loukhi,City,loukhi
965 821 421,965 821 421,R,153,Russia,Россия,Pitkyaranta ,Питкяранта,965 820 974,pitkyaranta,City,pitkyaranta
965 821 431,965 821 431,R,153,Russia,Россия,Shatura,Шатура,965 821 051,shatura,City,shatura
965 821 432,965 821 432,R,153,Russia,Россия,Suoyarvi,Суоярви,965 820 974,suoyarvi,City,suoyarvi
965 821 436,965 821 436,R,153,Russia,Россия,Zaraisk,Зарайск,965 821 051,zaraisk,City,zaraisk
965 821 438,965 821 438,R,153,Russia,Россия,Kugesi ,Кугеси,965 820 992,kugesi,City,kugesi
965 821 443,965 821 443,R,153,Russia,Россия,Apatity,Апатиты,965 820 939,apatity,City,apatity
965 821 444,965 821 444,R,153,Russia,Россия,Novocheboksarsk ,Новочебоксарск,965 820 992,novocheboksarsk,City,novocheboksarsk
965 821 447,965 821 447,R,153,Russia,Россия,Oktyabrskiy ,Октябрьский,965 820 977,oktyabrskiy_bashkortostan,City,bashkortostan_oktyabrskiy
965 821 449,965 821 449,R,153,Russia,Россия,Lovozero,Ловозеро,965 820 939,lovozero,City,lovozero
965 821 451,965 821 451,R,153,Russia,Россия,Sterlitamak ,Стерлитамак,965 820 977,sterlitamak,City,sterlitamak
965 821 452,965 821 452,R,153,Russia,Россия,Syatrakasi ,Сятракасы,965 820 992,syatrakasi,City,syatrakasi
965 821 454,965 821 454,R,153,Russia,Россия,Syzran ,Сызрань,965 820 938,syzran,City,syzran
965 821 465,965 821 465,R,153,Russia,Россия,Staraya Russa,Старая Русса,965 820 937,staraya_russa,City,staraya_russa
965 821 467,965 821 467,R,153,Russia,Россия,Kacha ,Кача,6 057 828,kacha,City,kacha
965 821 473,965 821 473,R,153,Russia,Россия,Nizhnezamorskoe ,Нижнезаморское,6 057 828,nizhnezamorskoe,City,nizhnezamorskoe
965 821 476,965 821 476,R,153,Russia,Россия,Peschanoe ,Песчаное,6 057 828,peschanoe,City,peschanoe
965 821 478,965 821 478,R,153,Russia,Россия,Shtormovoe ,Штормовое,6 057 828,shtormovoe,City,shtormovoe
965 821 486,965 821 486,R,153,Russia,Россия,Velikie Luki,Великие Луки,965 820 997,velikie_luki,City,velikie_luki
965 821 522,965 821 522,R,153,Russia,Россия,Gatchina,Гатчина,965 820 996,gatchina,City,gatchina
965 821 527,965 821 527,R,153,Russia,Россия,Lodeynoe Pole,Лодейное Поле,965 820 996,lodeynoe_pole,City,lodeynoe_pole
965 821 530,965 821 530,R,153,Russia,Россия,Mainilo,Майнило,965 820 996,mainilo,City,mainilo
965 821 539,965 821 539,R,153,Russia,Россия,Baikalsk ,Байкальск,965 820 895,baikalsk,City,baikalsk
965 821 542,965 821 542,R,153,Russia,Россия,Kupino,Купино,965 820 888,kupino,City,kupino
965 821 546,965 821 546,R,153,Russia,Россия,Arkhipo-Osipovka,Архипо-Осиповка,965 821 147,arkhipo-osipovka,City,arkhipo-osipovka
965 821 547,965 821 547,R,153,Russia,Россия,Armavir,Армавир,965 821 147,armavir,City,armavir
