326	['acm_hotel', 'acm_obj_part']	0.021%	описание номеров отель sapporo clark	1
327	['action_see', 'wh_what']	0.021%	что посмотреть в амстердаме за 2 дня	2
328	['acm_gost', 'city', 'poi_metro_station_spb', 'space_near']	0.021%	гостиницы санкт-петербурга рядом с московским вокзалом	4
329	['acm_gost', 'econom_class']	0.021%	гостиницы в королёве эконом класса	3
330	['acm_gost', 'country']	0.020%	гостиницы pulmann в россии	2
331	['acm_hostel', 'action2book']	0.020%	снять хостел в харькове	2
332	['city', 'country', 'price']	0.020%	вьетнам нячанг цены на еду	2
333	['city', 'country', 'date_year']	0.020%	египет из перми от всех туроператоров 2015	6
334	['acm_obj_part', 'action2book', 'city']	0.020%	снять номер на сутки в москве	1
335	['acm_gost', 'acm_hostel', 'city']	0.019%	нижний новгород хостелы и мини-гостиницы	3
336	['acm_gost', 'acm_obj_part', 'action2book', 'city', 'price_cheap']	0.019%	снять номер в гостинице в москве недорого на ночь	14
