225	['city', 'transport_train']	0.021%	поезд екатеринбург москва	2
226	['acm_gost', 'city', 'contacts_site', 'photo']	0.021%	гостиница санкт-петербург в санкт-петербурге официальный сайт фото	19
227	['city', 'photo']	0.021%	хургада фото	9
228	['acm_hotel', 'city', 'location_line', 'stars_4']	0.021%	отели хургады 4 звезды первая линия	8
229	['acm_gost_popular', 'acm_hotel']	0.021%	отель корстон	5
230	['acm_hotel', 'acm_obj_part', 'amn_jacuzzi', 'city']	0.021%	отель с джакузи в номере москва	5
231	['acm_hotel', 'city', 'contacts_site', 'poi_metro_station']	0.021%	отель катерина сити на павелецкой официальный сайт	4
232	['acm_hotel', 'city', 'poi_station', 'space_near']	0.021%	отели в питере около московского вокзала	4
233	['city', 'poi_metro_station']	0.020%	динамо москва	2
234	['city', 'date_year', 'price']	0.020%	цены в паттайе 2015	5
235	['acm_hotel', 'city', 'detailed', 'lang_rus', 'map']	0.020%	карта хургады с отелями на русском подробная	20
236	['acm_obj_popular', 'city', 'contacts_site']	0.020%	южное взморье адлер официальный сайт	20
237	['city', 'price']	0.020%	цены в вунгтау	1
238	['acm_hotel', 'acm_hotel_popular', 'city', 'price']	0.020%	отель ривьера казань цены	7
239	['acm_hostel', 'city', 'poi_metro', 'price_cheap', 'space_near']	0.020%	хостел в москве недорого рядом с метро	14
240	['city', 'time_season']	0.020%	калининград зимой	4
241	['acm_hotel', 'amn_all_inclusive', 'amn_beach', 'date_year', 'peninsula', 'price']	0.020%	отели крыма все включено со своим пляжем цены на 2015 год	19
242	['acm_gost_popular', 'acm_hostel', 'city']	0.019%	москва хостелы эконом	7
243	['city', 'country', 'tour']	0.019%	путевки в армению в джермуке	1
244	['acm_minihotel', 'poi_metro', 'poi_metro_station']	0.019%	метро орехово мини отель	1
245	['acm_hotel', 'city', 'photo']	0.019%	фото отелей в дубае	2
246	['acm_gost_popular', 'action_visit', 'city', 'wh_where_direction']	0.019%	куда сходить в нижнем новгороде туристу	3
247	['acm_hotel', 'city', 'location_line', 'stars_5']	0.019%	отели хургады 5 звезды первая линия	5
